regionType,regionId,representative,field,status,value,source,reason
ward,1,Daniel La Spata,name,value,Daniel La Spata,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,1,Daniel La Spata,email,value,Ward01@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,1,Daniel La Spata,phone,value,(872) 206-2685,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,1,Daniel La Spata,address,value,"1958 North Milwaukee Avenue, Chicago, IL 60647",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,1,Daniel La Spata,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/01.html,Not published by official source
ward,2,Brian Hopkins,name,value,Brian Hopkins,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,2,Brian Hopkins,email,value,office@aldermanhopkins.com,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,2,Brian Hopkins,phone,value,(312) 744-6836 / 9867/6213,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,2,Brian Hopkins,address,value,"121 North LaSalle Street, Room 300, Chicago, IL 60602",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,2,Brian Hopkins,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/02.html,Not published by official source
ward,3,Pat Dowell,name,value,Pat Dowell,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,3,Pat Dowell,email,value,Ward03@cityofchicago.org,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,3,Pat Dowell,phone,value,(773) 373-9273,https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,3,Pat Dowell,address,value,"5046 South State Street, Chicago, IL 60609",https://data.cityofchicago.org/resource/c6ie-9e6c.json?$limit=50000,
ward,3,Pat Dowell,photo,unavailable,,https://www.chicago.gov/city/en/about/wards/03.html,Not published by official source
